Name,Code,Type,Emp14,Emp24,Dist14,Dist24,ChgNum,ChgPerc,Openings
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,52.20,62.40,0.00,0.00,10.20,19.50,19.40
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,17.40,21.10,0.00,0.00,3.70,21.40,6.80
"Law teachers, postsecondary",25-1112,Line item,21.10,25.70,0.00,0.00,4.60,21.70,8.30
"Social work teachers, postsecondary",25-1113,Line item,13.70,15.60,0.00,0.00,1.90,13.90,4.30
"Arts, communications, and humanities teachers, postsecondary",25-1120,Summary,344.60,381.00,0.20,0.20,36.50,10.60,97.40
"Art, drama, and music teachers, postsecondary",25-1121,Line item,120.70,133.70,0.10,0.10,13.00,10.80,34.40
"Communications teachers, postsecondary",25-1122,Line item,36.00,39.50,0.00,0.00,3.50,9.70,9.90
"English language and literature teachers, postsecondary",25-1123,Line item,90.80,100.20,0.10,0.10,9.40,10.40,25.50
"Foreign language and literature teachers, postsecondary",25-1124,Line item,37.20,41.30,0.00,0.00,4.10,10.90,10.70
"History teachers, postsecondary",25-1125,Line item,29.20,32.10,0.00,0.00,2.90,10.00,8.10
"Philosophy and religion teachers, postsecondary",25-1126,Line item,30.70,34.20,0.00,0.00,3.60,11.60,9.00
Miscellaneous postsecondary teachers,25-1190,Summary,556.40,598.80,0.40,0.40,42.40,7.60,141.30
Graduate teaching assistants,25-1191,Line item,159.20,169.10,0.10,0.10,9.90,6.20,38.00
"Home economics teachers, postsecondary",25-1192,Line item,4.30,3.80,0.00,0.00,-0.50,-11.60,0.80
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,22.10,24.30,0.00,0.00,2.20,10.10,6.10
"Vocational education teachers, postsecondary",25-1194,Line item,138.50,147.60,0.10,0.10,9.10,6.60,33.60
"Postsecondary teachers, all other",25-1199,Line item,232.30,254.00,0.20,0.20,21.70,9.30,62.80
"Preschool, primary, secondary, and special education school teachers",25-2000,Summary,4131.90,4374.10,2.70,2.70,242.20,5.90,1199.60
Preschool and kindergarten teachers,25-2010,Summary,600.40,639.50,0.40,0.40,39.10,6.50,214.80
"Preschool teachers, except special education",25-2011,Line item,441.00,470.60,0.30,0.30,29.60,6.70,158.70
"Kindergarten teachers, except special education",25-2012,Line item,159.40,168.90,0.10,0.10,9.50,5.90,56.10
Elementary and middle school teachers,25-2020,Summary,1999.20,2115.10,1.30,1.30,115.90,5.80,558.10
"Elementary school teachers, except special education",25-2021,Line item,1358.00,1436.30,0.90,0.90,78.30,5.80,378.70
"Middle school teachers, except special and career/technical education",25-2022,Line item,627.50,664.20,0.40,0.40,36.80,5.90,175.50
"Career/technical education teachers, middle school",25-2023,Line item,13.70,14.60,0.00,0.00,0.80,5.90,3.90
Secondary school teachers,25-2030,Summary,1041.20,1097.40,0.70,0.70,56.20,5.40,303.20
"Secondary school teachers, except special and career/technical education",25-2031,Line item,961.60,1017.50,0.60,0.60,55.90,5.80,284.00
"Career/technical education teachers, secondary school",25-2032,Line item,79.60,79.90,0.10,0.00,0.30,0.40,19.20
Special education teachers,25-2050,Summary,491.10,522.00,0.30,0.30,31.00,6.30,123.50
"Special education teachers, preschool",25-2051,Line item,25.50,27.80,0.00,0.00,2.30,9.00,7.10
"Special education teachers, kindergarten and elementary school",25-2052,Line item,198.10,210.60,0.10,0.10,12.50,6.30,49.80
"Special education teachers, middle school",25-2053,Line item,93.00,98.50,0.10,0.10,5.50,5.90,23.00
"Special education teachers, secondary school",25-2054,Line item,134.00,141.90,0.10,0.10,7.90,5.90,33.10
"Special education teachers, all other",25-2059,Line item,40.40,43.30,0.00,0.00,2.90,7.20,10.50
Other teachers and instructors,25-3000,Summary,1408.70,1534.20,0.90,1.00,125.60,8.90,391.00
Adult basic and secondary education and literacy teachers and instructors,25-3011,Line item,77.50,83.00,0.10,0.10,5.50,7.10,20.10
Self-enrichment education teachers,25-3021,Line item,348.70,402.20,0.20,0.30,53.50,15.40,119.20
"Teachers and instructors, all other",25-3099,Line item,982.50,1049.00,0.70,0.70,66.50,6.80,251.70
"Librarians, curators, and archivists",25-4000,Summary,276.20,286.20,0.20,0.20,10.10,3.60,95.20
"Archivists, curators, and museum technicians",25-4010,Summary,31.30,33.40,0.00,0.00,2.10,6.70,11.80
Archivists,25-4011,Line item,6.90,7.40,0.00,0.00,0.50,6.80,2.60
Curators,25-4012,Line item,13.10,14.10,0.00,0.00,1.00,8.00,5.10
Museum technicians and conservators,25-4013,Line item,11.30,11.90,0.00,0.00,0.60,5.20,4.10
Librarians,25-4021,Line item,143.10,145.70,0.10,0.10,2.70,1.90,29.50
Library technicians,25-4031,Line item,101.80,107.10,0.10,0.10,5.30,5.20,53.90
"Other education, training, and library occupations",25-9000,Summary,1530.00,1630.30,1.00,1.00,100.30,6.60,424.70
Audio-visual and multimedia collections specialists,25-9011,Line item,10.00,10.80,0.00,0.00,0.80,7.90,1.80
Farm and home management advisors,25-9021,Line item,10.80,11.90,0.00,0.00,1.20,10.90,2.20
Instructional coordinators,25-9031,Line item,151.10,161.60,0.10,0.10,10.50,7.00,25.10
Teacher assistants,25-9041,Line item,1234.10,1312.80,0.80,0.80,78.60,6.40,374.50
"Education, training, and library workers, all other",25-9099,Line item,124.00,133.10,0.10,0.10,9.10,7.40,21.10
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,2624.20,2731.70,1.70,1.70,107.50,4.10,771.90
Art and design workers,27-1000,Summary,773.10,789.70,0.50,0.50,16.70,2.20,192.90
Artists and related workers,27-1010,Summary,189.30,195.90,0.10,0.10,6.60,3.50,42.00
Art directors,27-1011,Line item,74.60,76.40,0.00,0.00,1.80,2.40,15.80
Craft artists,27-1012,Line item,10.60,10.60,0.00,0.00,0.10,0.60,2.00
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.30,27.10,0.00,0.00,0.80,3.10,5.70
Multimedia artists and animators,27-1014,Line item,64.40,68.30,0.00,0.00,3.90,6.00,15.90
"Artists and related workers, all other",27-1019,Line item,13.40,13.50,0.00,0.00,0.10,0.40,2.60
Designers,27-1020,Summary,583.80,593.90,0.40,0.40,10.00,1.70,150.90
Commercial and industrial designers,27-1021,Line item,38.40,39.20,0.00,0.00,0.80,2.00,9.90
Fashion designers,27-1022,Line item,23.10,23.80,0.00,0.00,0.70,2.90,6.20
Floral designers,27-1023,Line item,58.70,56.70,0.00,0.00,-2.00,-3.40,14.00
Graphic designers,27-1024,Line item,261.60,265.20,0.20,0.20,3.60,1.40,65.80
Interior designers,27-1025,Line item,58.90,61.10,0.00,0.00,2.20,3.80,16.20
Merchandise displayers and window trimmers,27-1026,Line item,120.80,124.10,0.10,0.10,3.30,2.80,32.10
Set and exhibit designers,27-1027,Line item,13.30,14.20,0.00,0.00,0.90,6.80,4.10
"Designers, all other",27-1029,Line item,8.90,9.50,0.00,0.00,0.60,6.20,2.70
"Entertainers and performers, sports and related workers",27-2000,Summary,781.70,827.70,0.50,0.50,46.00,5.90,298.70
"Actors, producers, and directors",27-2010,Summary,192.10,209.80,0.10,0.10,17.70,9.20,84.50
Actors,27-2011,Line item,69.40,76.10,0.00,0.00,6.60,9.60,34.00
Producers and directors,27-2012,Line item,122.60,133.80,0.10,0.10,11.10,9.10,50.50
"Athletes, coaches, umpires, and related workers",27-2020,Summary,284.10,300.60,0.20,0.20,16.50,5.80,112.40
Athletes and sports competitors,27-2021,Line item,13.70,14.50,0.00,0.00,0.80,5.60,5.40
Coaches and scouts,27-2022,Line item,250.60,265.40,0.20,0.20,14.80,5.90,99.40
"Umpires, referees, and other sports officials",27-2023,Line item,19.80,20.70,0.00,0.00,1.00,4.80,7.60
Dancers and choreographers,27-2030,Summary,20.10,21.10,0.00,0.00,1.10,5.30,7.50
Dancers,27-2031,Line item,13.00,13.60,0.00,0.00,0.60,4.80,4.80
Choreographers,27-2032,Line item,7.10,7.50,0.00,0.00,0.40,6.30,2.70
"Musicians, singers, and related workers",27-2040,Summary,255.40,264.00,0.20,0.20,8.60,3.40,82.70
Music directors and composers,27-2041,Line item,82.10,84.70,0.10,0.10,2.60,3.20,26.40
Musicians and singers,27-2042,Line item,173.30,179.30,0.10,0.10,6.00,3.50,56.30
"Entertainers and performers, sports and related workers, all other",27-2099,Line item,30.00,32.10,0.00,0.00,2.10,6.80,11.50
Media and communication workers,27-3000,Summary,747.90,775.30,0.50,0.50,27.40,3.70,198.20
Announcers,27-3010,Summary,52.50,46.70,0.00,0.00,-5.80,-11.00,15.50
Radio and television announcers,27-3011,Line item,42.30,36.30,0.00,0.00,-6.10,-14.30,12.20
Public address system and other announcers,27-3012,Line item,10.20,10.50,0.00,0.00,0.30,2.90,3.20
"News analysts, reporters and correspondents",27-3020,Summary,54.40,49.60,0.00,0.00,-4.80,-8.90,17.50
Broadcast news analysts,27-3021,Line item,5.10,4.50,0.00,0.00,-0.60,-12.60,1.60
Reporters and correspondents,27-3022,Line item,49.30,45.10,0.00,0.00,-4.20,-8.50,15.90
Public relations specialists,27-3031,Line item,240.70,255.60,0.20,0.20,14.90,6.20,43.60
Writers and editors,27-3040,Summary,305.80,308.00,0.20,0.20,2.20,0.70,85.70
Editors,27-3041,Line item,117.20,111.00,0.10,0.10,-6.20,-5.30,42.50
Technical writers,27-3042,Line item,52.00,57.30,0.00,0.00,5.30,10.20,17.20
Writers and authors,27-3043,Line item,136.50,139.70,0.10,0.10,3.10,2.30,26.10
Miscellaneous media and communication workers,27-3090,Summary,94.50,115.40,0.10,0.10,21.00,22.20,36.00
Interpreters and translators,27-3091,Line item,61.00,78.50,0.00,0.00,17.50,28.70,27.20
"Media and communication workers, all other",27-3099,Line item,33.50,37.00,0.00,0.00,3.50,10.30,8.80
Media and communication equipment workers,27-4000,Summary,321.60,338.90,0.20,0.20,17.40,5.40,82.00
Broadcast and sound engineering technicians and radio operators,27-4010,Summary,118.40,126.10,0.10,0.10,7.70,6.50,32.20
Audio and video equipment technicians,27-4011,Line item,70.90,79.40,0.00,0.00,8.40,11.90,21.90
Broadcast technicians,27-4012,Line item,30.10,28.20,0.00,0.00,-2.00,-6.50,5.70
Radio operators,27-4013,Line item,1.20,1.20,0.00,0.00,0.00,-0.60,0.20
Sound engineering technicians,27-4014,Line item,16.10,17.40,0.00,0.00,1.20,7.60,4.30
Photographers,27-4021,Line item,124.90,128.80,0.10,0.10,3.90,3.10,34.50
"Television, video, and motion picture camera operators and editors",27-4030,Summary,58.90,65.30,0.00,0.00,6.40,10.80,11.70
"Camera operators, television, video, and motion picture",27-4031,Line item,25.40,25.90,0.00,0.00,0.50,2.00,2.80
Film and video editors,27-4032,Line item,33.50,39.40,0.00,0.00,5.90,17.60,8.90
"Media and communication equipment workers, all other",27-4099,Line item,19.40,18.70,0.00,0.00,-0.60,-3.30,3.70
Healthcare practitioners and technical occupations,29-0000,Summary,8236.50,9584.60,5.50,6.00,1348.10,16.40,3161.60
Health diagnosing and treating practitioners,29-1000,Summary,5132.40,5994.70,3.40,3.70,862.30,16.80,2073.40
Chiropractors,29-1011,Line item,45.20,53.10,0.00,0.00,7.90,17.50,16.00
Dentists,29-1020,Summary,151.50,178.20,0.10,0.10,26.70,17.60,57.60
"Dentists, general",29-1021,Line item,129.00,152.30,0.10,0.10,23.30,18.00,49.60
Oral and maxillofacial surgeons,29-1022,Line item,6.80,8.00,0.00,0.00,1.20,17.90,2.60
Orthodontists,29-1023,Line item,8.20,9.70,0.00,0.00,1.50,18.30,3.20
Prosthodontists,29-1024,Line item,0.80,1.00,0.00,0.00,0.10,17.80,0.30
"Dentists, all other specialists",29-1029,Line item,6.70,7.30,0.00,0.00,0.60,8.50,1.90
Dietitians and nutritionists,29-1031,Line item,66.70,77.60,0.00,0.00,11.00,16.40,16.00
Optometrists,29-1041,Line item,40.60,51.60,0.00,0.00,11.00,27.00,25.50
Pharmacists,29-1051,Line item,297.10,306.20,0.20,0.20,9.10,3.10,78.40
Physicians and surgeons,29-1060,Summary,708.30,807.60,0.50,0.50,99.30,14.00,290.00
Anesthesiologists,29-1061,Line item,33.70,40.80,0.00,0.00,7.10,21.00,16.10
Family and general practitioners,29-1062,Line item,139.80,154.10,0.10,0.10,14.30,10.20,51.90
"Internists, general",29-1063,Line item,54.30,59.40,0.00,0.00,5.10,9.40,19.70
Obstetricians and gynecologists,29-1064,Line item,24.40,28.70,0.00,0.00,4.30,17.60,10.80
"Pediatricians, general",29-1065,Line item,34.80,38.40,0.00,0.00,3.60,10.30,12.90
Psychiatrists,29-1066,Line item,28.20,32.40,0.00,0.00,4.20,14.90,11.80
Surgeons,29-1067,Line item,46.00,55.10,0.00,0.00,9.10,19.80,21.50
"Physicians and surgeons, all other",29-1069,Line item,347.20,398.80,0.20,0.20,51.70,14.90,145.10
Physician assistants,29-1071,Line item,94.40,123.20,0.10,0.10,28.70,30.40,50.00
Podiatrists,29-1081,Line item,9.60,11.00,0.00,0.00,1.40,14.10,3.30
Therapists,29-1120,Summary,655.90,813.80,0.40,0.50,157.90,24.10,311.20
Occupational therapists,29-1122,Line item,114.60,145.10,0.10,0.10,30.40,26.50,52.60
Physical therapists,29-1123,Line item,210.90,282.70,0.10,0.20,71.80,34.00,128.30
Radiation therapists,29-1124,Line item,16.60,18.90,0.00,0.00,2.30,14.00,6.20
Recreational therapists,29-1125,Line item,18.60,20.90,0.00,0.00,2.20,12.00,6.60
Respiratory therapists,29-1126,Line item,120.70,135.50,0.10,0.10,14.90,12.30,43.30
Speech-language pathologists,29-1127,Line item,135.40,164.30,0.10,0.10,28.90,21.30,63.10
Exercise physiologists,29-1128,Line item,14.50,16.00,0.00,0.00,1.50,10.60,3.00
"Therapists, all other",29-1129,Line item,24.70,30.50,0.00,0.00,5.80,23.60,8.30
Veterinarians,29-1131,Line item,78.30,85.20,0.10,0.10,6.90,8.90,19.00
Registered nurses,29-1141,Line item,2751.00,3190.30,1.80,2.00,439.30,16.00,1088.40
Nurse anesthetists,29-1151,Line item,38.20,45.60,0.00,0.00,7.40,19.30,16.40
Nurse midwives,29-1161,Line item,5.30,6.60,0.00,0.00,1.30,24.60,2.50
Nurse practitioners,29-1171,Line item,126.90,171.70,0.10,0.10,44.70,35.20,74.70
Audiologists,29-1181,Line item,13.20,16.90,0.00,0.00,3.80,28.60,6.80
"Health diagnosing and treating practitioners, all other",29-1199,Line item,50.10,56.10,0.00,0.00,6.00,12.00,17.70
Health technologists and technicians,29-2000,Summary,2946.60,3416.10,2.00,2.10,469.50,15.90,1040.40
Clinical laboratory technologists and technicians,29-2010,Summary,328.20,380.30,0.20,0.20,52.10,15.90,130.50
Medical and clinical laboratory technologists,29-2011,Line item,164.80,187.90,0.10,0.10,23.10,14.00,62.50
Medical and clinical laboratory technicians,29-2012,Line item,163.40,192.40,0.10,0.10,29.00,17.80,68.10
Dental hygienists,29-2021,Line item,200.50,237.90,0.10,0.10,37.40,18.60,70.30
Diagnostic related technologists and technicians,29-2030,Summary,363.90,412.40,0.20,0.30,48.50,13.30,117.30
Cardiovascular technologists and technicians,29-2031,Line item,52.00,63.50,0.00,0.00,11.50,22.20,21.40
Diagnostic medical sonographers,29-2032,Line item,60.70,76.70,0.00,0.00,16.00,26.40,27.50
Nuclear medicine technologists,29-2033,Line item,20.70,21.00,0.00,0.00,0.30,1.50,4.20
Radiologic technologists,29-2034,Line item,197.00,214.20,0.10,0.10,17.20,8.70,54.40
Magnetic resonance imaging technologists,29-2035,Line item,33.60,37.10,0.00,0.00,3.50,10.30,9.80
Emergency medical technicians and paramedics,29-2041,Line item,241.20,299.60,0.20,0.20,58.50,24.20,98.00
Health practitioner support technologists and technicians,29-2050,Summary,712.80,794.70,0.50,0.50,81.80,11.50,154.50
Dietetic technicians,29-2051,Line item,29.30,33.20,0.00,0.00,3.90,13.30,6.80
Pharmacy technicians,29-2052,Line item,372.50,407.20,0.20,0.30,34.70,9.30,71.60
Psychiatric technicians,29-2053,Line item,67.90,71.40,0.00,0.00,3.50,5.20,10.20
Respiratory therapy technicians,29-2054,Line item,10.70,8.70,0.00,0.00,-2.10,-19.20,1.10
Surgical technologists,29-2055,Line item,99.80,114.50,0.10,0.10,14.70,14.80,24.60
Veterinary technologists and technicians,29-2056,Line item,95.60,113.60,0.10,0.10,17.90,18.70,27.40
Ophthalmic medical technicians,29-2057,Line item,37.00,46.10,0.00,0.00,9.10,24.70,12.80
Licensed practical and licensed vocational nurses,29-2061,Line item,719.90,837.20,0.50,0.50,117.30,16.30,322.20
Medical records and health information technicians,29-2071,Line item,188.60,217.60,0.10,0.10,29.00,15.40,71.20
"Opticians, dispensing",29-2081,Line item,75.20,93.00,0.00,0.10,17.80,23.70,37.90
Miscellaneous health technologists and technicians,29-2090,Summary,116.40,143.50,0.10,0.10,27.10,23.30,38.60
Orthotists and prosthetists,29-2091,Line item,8.30,10.10,0.00,0.00,1.90,22.60,2.70
Hearing aid specialists,29-2092,Line item,5.90,7.50,0.00,0.00,1.60,27.20,2.20
"Health technologists and technicians, all other",29-2099,Line item,102.20,125.90,0.10,0.10,23.60,23.10,33.80
Other healthcare practitioners and technical occupations,29-9000,Summary,157.40,173.80,0.10,0.10,16.30,10.40,47.80
Occupational health and safety specialists and technicians,29-9010,Summary,85.50,89.60,0.10,0.10,4.20,4.90,21.30
Occupational health and safety specialists,29-9011,Line item,70.30,73.10,0.00,0.00,2.80,4.00,16.90
Occupational health and safety technicians,29-9012,Line item,15.10,16.50,0.00,0.00,1.40,9.10,4.40
Miscellaneous health practitioners and technical workers,29-9090,Summary,72.00,84.10,0.00,0.10,12.10,16.90,26.50
Athletic trainers,29-9091,Line item,25.40,30.80,0.00,0.00,5.40,21.10,10.40
Genetic counselors,29-9092,Line item,2.40,3.10,0.00,0.00,0.70,28.80,1.20
"Healthcare practitioners and technical workers, all other",29-9099,Line item,44.20,50.30,0.00,0.00,6.10,13.80,14.90
Healthcare support occupations,31-0000,Summary,4238.00,5212.20,2.80,3.30,974.20,23.00,1907.60
"Nursing, psychiatric, and home health aides",31-1000,Summary,2536.00,3156.30,1.70,2.00,620.30,24.50,1193.10
Home health aides,31-1011,Line item,913.50,1261.90,0.60,0.80,348.40,38.10,554.80
Psychiatric aides,31-1013,Line item,77.30,81.40,0.10,0.10,4.10,5.30,21.60
Nursing assistants,31-1014,Line item,1492.10,1754.10,1.00,1.10,262.00,17.60,599.00
Orderlies,31-1015,Line item,53.00,58.80,0.00,0.00,5.80,10.90,17.80
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,170.60,238.80,0.10,0.10,68.20,40.00,117.60
Occupational therapy assistants and aides,31-2010,Summary,41.90,58.70,0.00,0.00,16.80,40.10,28.90
Occupational therapy assistants,31-2011,Line item,33.00,47.10,0.00,0.00,14.10,42.70,23.60
Occupational therapy aides,31-2012,Line item,8.80,11.60,0.00,0.00,2.70,30.60,5.30
Physical therapist assistants and aides,31-2020,Summary,128.70,180.20,0.10,0.10,51.40,39.90,88.70
Physical therapist assistants,31-2021,Line item,78.70,110.70,0.10,0.10,31.90,40.60,54.70
Physical therapist aides,31-2022,Line item,50.00,69.50,0.00,0.00,19.50,39.00,34.00
Other healthcare support occupations,31-9000,Summary,1531.40,1817.10,1.00,1.10,285.70,18.70,596.90
Massage therapists,31-9011,Line item,168.80,205.20,0.10,0.10,36.50,21.60,49.00
Miscellaneous healthcare support occupations,31-9090,Summary,1362.60,1611.80,0.90,1.00,249.30,18.30,547.90
Dental assistants,31-9091,Line item,318.80,377.40,0.20,0.20,58.60,18.40,137.50
Medical assistants,31-9092,Line item,591.30,730.20,0.40,0.50,138.90,23.50,262.10
Medical equipment preparers,31-9093,Line item,52.00,59.30,0.00,0.00,7.30,14.00,18.10
Medical transcriptionists,31-9094,Line item,70.00,67.80,0.00,0.00,-2.20,-3.10,14.60
Pharmacy aides,31-9095,Line item,41.50,41.60,0.00,0.00,0.10,0.30,8.80
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,73.40,80.00,0.00,0.00,6.60,9.00,21.90
Phlebotomists,31-9097,Line item,112.70,140.80,0.10,0.10,28.10,24.90,51.60
"Healthcare support workers, all other",31-9099,Line item,102.70,114.70,0.10,0.10,12.00,11.70,33.40
Protective service occupations,33-0000,Summary,3443.80,3597.70,2.30,2.20,153.90,4.50,972.50
Supervisors of protective service workers,33-1000,Summary,288.00,300.50,0.20,0.20,12.50,4.30,112.40
First-line supervisors of law enforcement workers,33-1010,Summary,155.70,161.70,0.10,0.10,6.00,3.90,58.30
First-line supervisors of correctional officers,33-1011,Line item,47.60,49.10,0.00,0.00,1.50,3.10,15.30
First-line supervisors of police and detectives,33-1012,Line item,108.10,112.70,0.10,0.10,4.50,4.20,43.00
First-line supervisors of fire fighting and prevention workers,33-1021,Line item,63.50,66.80,0.00,0.00,3.30,5.20,33.40
"First-line supervisors of protective service workers, all other",33-1099,Line item,68.70,71.90,0.00,0.00,3.20,4.60,20.70
Fire fighting and prevention workers,33-2000,Summary,341.40,359.70,0.20,0.20,18.30,5.40,117.30
Firefighters,33-2011,Line item,327.30,344.70,0.20,0.20,17.40,5.30,112.30
Fire inspectors,33-2020,Summary,14.10,15.00,0.00,0.00,0.90,6.40,5.00
Fire inspectors and investigators,33-2021,Line item,12.40,13.10,0.00,0.00,0.70,5.50,4.30
Forest fire inspectors and prevention specialists,33-2022,Line item,1.70,2.00,0.00,0.00,0.20,13.10,0.70
Law enforcement workers,33-3000,Summary,1290.60,1339.70,0.90,0.80,49.10,3.80,441.30
"Bailiffs, correctional officers, and jailers",33-3010,Summary,474.80,492.80,0.30,0.30,17.90,3.80,148.50
Bailiffs,33-3011,Line item,17.30,18.10,0.00,0.00,0.80,4.70,5.60
Correctional officers and jailers,33-3012,Line item,457.60,474.70,0.30,0.30,17.10,3.70,143.00
Detectives and criminal investigators,33-3021,Line item,116.70,115.30,0.10,0.10,-1.40,-1.20,28.30
Fish and game wardens,33-3031,Line item,6.20,6.30,0.00,0.00,0.10,1.90,2.00
Parking enforcement workers,33-3041,Line item,9.40,7.40,0.00,0.00,-2.00,-20.80,2.80
Police officers,33-3050,Summary,683.50,717.90,0.50,0.40,34.40,5.00,259.70
Police and sheriff's patrol officers,33-3051,Line item,680.00,714.20,0.50,0.40,34.20,5.00,258.40
Transit and railroad police,33-3052,Line item,3.60,3.70,0.00,0.00,0.10,3.50,1.30
Other protective service workers,33-9000,Summary,1523.80,1597.90,1.00,1.00,74.10,4.90,301.40
Animal control workers,33-9011,Line item,15.00,15.90,0.00,0.00,0.90,5.80,4.30
Private detectives and investigators,33-9021,Line item,34.90,36.70,0.00,0.00,1.80,5.20,11.00
Security guards and gaming surveillance officers,33-9030,Summary,1102.50,1157.50,0.70,0.70,55.00,5.00,210.60
Gaming surveillance officers and gaming investigators,33-9031,Line item,7.00,6.60,0.00,0.00,-0.50,-7.00,1.00
Security guards,33-9032,Line item,1095.40,1150.90,0.70,0.70,55.50,5.10,209.60
Miscellaneous protective service workers,33-9090,Summary,371.50,387.90,0.20,0.20,16.40,4.40,75.50
Crossing guards,33-9091,Line item,69.80,74.20,0.00,0.00,4.50,6.40,17.00
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,141.30,150.80,0.10,0.10,9.50,6.70,29.40
Transportation security screeners,33-9093,Line item,46.60,42.40,0.00,0.00,-4.20,-9.00,6.60
"Protective service workers, all other",33-9099,Line item,113.80,120.40,0.10,0.10,6.60,5.80,22.60
Food preparation and serving related occupations,35-0000,Summary,12467.60,13280.40,8.30,8.30,812.90,6.50,5549.00
Supervisors of food preparation and serving workers,35-1000,Summary,1017.60,1117.40,0.70,0.70,99.80,9.80,383.30
Chefs and head cooks,35-1011,Line item,127.50,138.80,0.10,0.10,11.30,8.90,30.40
First-line supervisors of food preparation and serving workers,35-1012,Line item,890.10,978.60,0.60,0.60,88.50,9.90,352.90
Cooks and food preparation workers,35-2000,Summary,3164.70,3316.60,2.10,2.10,151.80,4.80,1091.10
Cooks,35-2010,Summary,2290.80,2387.80,1.50,1.50,97.00,4.20,792.80
"Cooks, fast food",35-2011,Line item,524.40,444.00,0.30,0.30,-80.40,-15.30,138.70
"Cooks, institution and cafeteria",35-2012,Line item,417.60,443.90,0.30,0.30,26.30,6.30,136.80
"Cooks, private household",35-2013,Line item,35.90,36.20,0.00,0.00,0.20,0.60,9.70
"Cooks, restaurant",35-2014,Line item,1109.70,1268.70,0.70,0.80,158.90,14.30,452.50
"Cooks, short order",35-2015,Line item,181.60,172.30,0.10,0.10,-9.30,-5.10,48.00
"Cooks, all other",35-2019,Line item,21.50,22.80,0.00,0.00,1.30,6.00,7.00
Food preparation workers,35-2021,Line item,873.90,928.80,0.60,0.60,54.80,6.30,298.30
Food and beverage serving workers,35-3000,Summary,6940.00,7475.10,4.60,4.70,535.10,7.70,3312.10
Bartenders,35-3011,Line item,580.90,640.90,0.40,0.40,60.10,10.30,278.30
Fast food and counter workers,35-3020,Summary,3640.90,4013.20,2.40,2.50,372.30,10.20,1682.70
"Combined food preparation and serving workers, including fast food",35-3021,Line item,3159.70,3503.20,2.10,2.20,343.50,10.90,1364.60
"Counter attendants, cafeteria, food concession, and coffee shop",35-3022,Line item,481.20,510.00,0.30,0.30,28.90,6.00,318.10
Waiters and waitresses,35-3031,Line item,2465.10,2534.00,1.60,1.60,68.90,2.80,1255.00
"Food servers, nonrestaurant",35-3041,Line item,253.10,287.00,0.20,0.20,33.80,13.40,96.00
Other food preparation and serving related workers,35-9000,Summary,1345.30,1371.40,0.90,0.90,26.10,1.90,762.60
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,415.30,440.70,0.30,0.30,25.40,6.10,233.00
Dishwashers,35-9021,Line item,507.40,487.90,0.30,0.30,-19.50,-3.90,219.30
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,376.40,393.20,0.30,0.20,16.70,4.40,283.80
"Food preparation and serving related workers, all other",35-9099,Line item,46.10,49.60,0.00,0.00,3.50,7.70,26.60
Building and grounds cleaning and maintenance occupations,37-0000,Summary,5617.20,5967.00,3.70,3.70,349.80,6.20,1489.20
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,425.90,450.20,0.30,0.30,24.30,5.70,93.10
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,247.90,262.80,0.20,0.20,14.90,6.00,54.00
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,178.00,187.40,0.10,0.10,9.40,5.30,39.00
Building cleaning and pest control workers,37-2000,Summary,3909.20,4157.20,2.60,2.60,247.90,6.30,1087.30
Building cleaning workers,37-2010,Summary,3835.10,4084.00,2.50,2.50,248.80,6.50,1068.70
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2360.60,2496.90,1.60,1.60,136.30,5.80,605.20
Maids and housekeeping cleaners,37-2012,Line item,1457.70,1569.40,1.00,1.00,111.70,7.70,459.40
"Building cleaning workers, all other",37-2019,Line item,16.90,17.70,0.00,0.00,0.80,4.80,4.20
Pest control workers,37-2021,Line item,74.10,73.20,0.00,0.00,-0.90,-1.20,18.60
Grounds maintenance workers,37-3000,Summary,1282.00,1359.60,0.90,0.80,77.60,6.10,308.80
Landscaping and groundskeeping workers,37-3011,Line item,1167.80,1239.60,0.80,0.80,71.70,6.10,282.30
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,36.40,37.80,0.00,0.00,1.40,3.80,7.90
Tree trimmers and pruners,37-3013,Line item,53.20,56.20,0.00,0.00,3.00,5.60,12.60
"Grounds maintenance workers, all other",37-3019,Line item,24.50,26.10,0.00,0.00,1.60,6.40,6.00
Personal care and service occupations,39-0000,Summary,6006.10,6798.20,4.00,4.20,792.10,13.20,2065.80
Supervisors of personal care and service workers,39-1000,Summary,290.70,318.70,0.20,0.20,27.90,9.60,88.10
